Month,Date,Year,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
7,7/1/03,2003,19:57,"Belem, Para, Brazil",Heringer Air Taxi,,Mitsubishi MU 2B 35,4,4,The plane crashed on final approach to Belem Airport during a strong  thunderstorm.
7,7/5/03,2003,11:30,"Macaí©, Rio de Janeiro, Brazil",BHS - Brazilian Helicopter Services,,Sikorsky  S 76 A,5,5,"The helicopter  was landing on the helideck of the ship Toisa Mariner, when the tail rotor collided with the flagpole on the ship. The pilot lost the control and the helicopter crashed into the  sea."
7,7/8/03,2003,4:00,"Port Sudan, Sudan",Sudan Airways,Port Sudan - Khartoum,Boeing 737-2J8C,117,116,"The plane's crew reported technical difficulties (engine failure) 10 minutes after taking off from Port Sudan Airport. The plane crashed into a hillside, 3 miles from the airport as the crew tried to return and make emergency landing. A three-year-old boy was the only survivor."
7,7/13/03,2003,15:30,"Off Treasure Cay, Bahamas",Air Sunshine,"Ft. Lauderdale, FL - Treasure Cay",Cessna 402C,10,2,Crashed atop a hill in Chorro del Indio National Park during a descent to San Cristobal.
7,7/13/03,2003,12:15,"Near San Cristobal, Venezuela",Ruiban & Duran Compania Aí©rea,La Carlota - San Cristobal,Let 410UVP-E,10,4,"Twenty miles west of its destination, at an altitude of 3,500 ft., the right engine began coming apart and throwing parts out of the cowling. Although the right engine was feathered, flaps and gear retracted and full power applied t the left engine, the plane could not maintain altitude and the pilot ditched the aircraft 15 miles from its destination. All passengers and the pilot were able to exit from the plane before it sank but 2 passengers subsequently died. The in-flight failure of the right engine and the pilot's failure to adequately manage the airplane's performance after the engine failed. The right engine failure resulted for inadequate maintenance that was performed by Air Sunshine's maintenance personnel during undocumented maintenance. Contributing to the passenger fatalities was the pilot's failure to provide an emergency briefing after the right engine failed."
7,7/19/03,2003,18:00,"Mount Kenya, Kenya",Ryan Blake Air Charter,Nairobi - Samburu National Park,Swearingen SA-226T Metro II,14,14,"The plane crashed into the eastern slopes of Mount Kenya at an altitude of 16,355 feet as it attempted to fly around Lenana Peak and land in Samburu National Park. Ten American tourists and 2 pilots were killed when the plane hit the mountain 450 feet below the snow covered peak and disintegrated upon impact. Poor visibility 5 have been a factor."
7,7/23/03,2003,8:53,"Waialeale,Kauai, Hawaii",Jack Harter Helicopters,Sightseeing,Bell 206B,5,5,"The helilcopter collided with terrain while maneuvering in the Waialeale Crater, Kauai, Hawaii. The helicopter impacted steep upsloping terrain on the northwestern inside crater wall and was destroyed. The pilot's failure to maintain adequate terrain clearance/altitude while descending over mountainous terrain, and his continued flight into adverse weather. Factors contributing to the accident were clouds and a low ceiling."
8,8/4/03,2003,6:39,"Groton, Connecticut",Jet Pro,Farmingdale - Groton,Gates Learjet 35A,2,2,"During a positioning flight the jet crashed into several houses before ending up in a river. The first officer's inadvertent retraction of the flaps during the low altitude maneuvering, which resulted in the inadvertent stall and subsequent in-flight collision with a residential home. Factors in the accident were the captain's decision to perform a low altitude maneuver using excessive bank angle, the flight crews inadequate coordination, and low clouds surrounding the airport."
8,8/8/03,2003,9:32,"Tocomita, Venezuela",Servicios Aeronauticos Sucre (SASCA),Porlamar - Canaima,Cessna 208B Grand Caravan,16,1,The pilot decided to divert to Tocomita after experiencing engine problems but crashed into trees 100 meters short of the runway.
8,8/20/03,2003,13:05,"Kamchatka Peninsula, Russia",Khalatyrka,Kamchatka - Kuril Islands,Mi-8 helicopter,20,20,"The helicopter was flying at a 13-meter height when the pilot pulled up its nose in an attempt to avoid a close obstacle. The maneuver caused the helicopter's rotor blades to swing back, slicing its tail, causing the crash. Sakhalin Governor, Igor Farkhutdinov, was among the casualties."
8,8/24/03,2003,14:00,"Cap Haitien, Haiti",Tropical Airways,Cap Haitien - Port au Paix,Let 420UVP-E,21,21,The plane crashed shortly after taking off from Cap Haitien Airport. Witnesses reported seeing smoke coming out of the back of the aircraft. The plane then nose dived into a sugarcane field and exploded.
8,8/26/03,2003,15:38,"Off Hyannis, Massachusetts",US Airways Express,,Beechcraft 1900D,2,2,"Shortly after taking off the pilot declared an emergency but the aircraft crashed into Nantucket Sound before he could land. The improper replacement of the forward elevator trim cable, and subsequent inadequate functional check of the maintenance performed, which resulted in a reversal of the elevator trim system and a loss of control in-flight. Factors were the flightcrew's failure to follow the checklist procedures, and the aircraft manufacturer's erroneous depiction of the elevator trim drum in the maintenance manual."
9,9/11/03,2003,20:30,"Near Summer Beaver, Canada",Wasaya Airways,Pickle Lake - Summer Beaver,Cessna 208B Grand Caravan,8,8,The aircraft crashed ten kilometers northwest of Summer Beaver one hour after leaving Pickle Lake Airport. Thunderstorm activity was reported along the route.
9,9/19/03,2003,17:10,"Del Rio, Texas",Ameristar Jet Charter,El Paso - Del Rio,Learjet 25B,2,1,"After touching down the aircraft did not brake correctly and overran the runway, crashed into a cemetery and burst into flames. The pilot's misjudged distance and speed during the approach to landing, and his failure to obtain the proper touchdown point resulting in an overrun. A contributing factor was the pilot's failure to abort the landing."
9,9/19/03,2003,20:00,"Near La Quemada, Mexico",Military - Mexican Air Force,Mexicali - Santa Lucia,Lockheed C-130A Hercules,6,6,Crashed while en route
9,9/20/03,2003,19:55,"Near Meadview, Arizona",Sundance Helicopters,Sightseeing,Aerospatiale AS350BA,7,7,"The sightseeing helicopter, headed for the bottom of the Grand Canyon, hit the face of a cliff and crashed in rugged terrain killing all aboard. Tourists were supposed to board a pontoon boat when the accident occurred 2/3 of the way down the canyon. The pilot's disregard of safe flying procedures and misjudgment of the helicopter's proximity to terrain. Contributing to the accident was the failure of Sundance Helicopters and the FAA to provide adequate surveillance of Sundance's air tour operations in Descent Canyon."
9,9/27/03,2003,18:57,"Gaspí©, Quebec, Canada",Les Ailes de Gaspí© Inc.,Gaspí© - í_les-de-la-Madeleine,Piper PA31-310,3,3,"Cashed as it approached Gaspí© in fog and low ceiling. The pilot descended to the minimum descent altitude (MDA) without being established on the localizer track, thereby placing himself in a precarious situation with respect to the approach and to obstruction clearance. On an instrument approach, the pilot continued his descent below the MDA without having the visual references required to continue the landing, and he was a victim of CFIT (controlled flight into terrain)."
10,10/3/03,2003,,Sao Gabriel de Cachoeria,Air taxi - Rumo Notre Air Taxi,Sao Gabriel de Cachoeria - Yauarete,EMB 721C Sertanejo,4,4,"While at crusing altitude, one hour after taking off, the aircraft suddenly exploded in midair for unknown reasons."
10,10/3/03,2003,21:25,"Off Waikanae, New Zealand",Air Freight New Zealand,Christchurch - Palmerston North,Convair CV-580F,2,2,"The plane disappeared shortly after taking off. Wreckage was found at  2 miles south of Gabrieläó»s runaway,  in the Amazon forest, 2 days later.  Mechanical failure after the takoff.  Remote area without ATC or radar."
10,10/11/03,2003,16:00,"Uriman, Venezuela",Transmandu,,Antonov AN-2TP,2,1,Crashed into the Caroni River shortly after taking off.
10,10/26/03,2003,4:31,"Buenos Aires, Argentina",CATA Linea Aerea,,Fairchild Hiller FH-227B,5,5,Three minutes after taking off from Buenos Aires Airport the crew reported a technical problem and asked to turn around. They were cleared to land on Runway 17 but crashed 30 km southwest of Buenos Aires.
10,10/27/03,2003,8:08,"Tampico, Mexico",Aeroextra,Tampico - Las Potrancas Ranch Airstrip,Hawker 800A,3,3,"While on approach on a positioning flight,  in poor weather, the crew decided to go-around turned left and struck a 1,600 ft. hill."
10,10/29/03,2003,8:51,"Cody, Wyoming",FedEx,Casper - Cody,Cessna 208B Caravan I Super Cargomaster,1,1,"While on approach after an 18 minute holding pattern the cargo plane crashed in a snowstorm on a highway  before coming to rest in Alkali Lake located short of runway. The pilot's failure to maintain aircraft control. Contributing factors include the pilot's failure to divert to an alternate airport, an inadvertent stall, and the snow and icing conditions."
11,11/2/03,2003,9:00,"Near Hasi, Iraq",Military - U.S. Army,Fallujah - Baghdad,CH-47 Chinook,36,15,The helicopter crashed into a corn field while ferrying troops from Fallujah to Baghdad. The CH-47 helicopter belonged to the 12th Aviation Brigade. The helicopter was shot down by a shoulder-fired missile.
11,11/8/03,2003,10:59,"Near Ogle, Guyana",Trans Guyana Airways,"Ogle, Guyana - Ekereku, Guyana",Shorts SC-7 Skyvan 3M Variant 100,7,2,The right engine failed one minute after takeoff. The pilot declared an emergency and made a forced landing in a cane field. The plane hit a ridge and slid approximately 100 ft. before coming to rest. A flight attendant and one passenger received fatal injuries.
11,11/8/03,2003,10:26,"200 miles NE of Derby, Australia",Heliwork WA Pty Ltd. - Air Taxi,,Robertson R44 helicopter,4,4,The helicopter crashed in the remote outback after colliding with terrain. The helicopter was destroyed in the post crash fire. Visual meteorological conditions prevailed at the time of the accident.
11,11/15/03,2003,18:30,"Mosul, Iraq",Military - U.S. Army,,UH-60 Black Hawk / UH-60 Black Hawk,22,17,A midair collision occurred between two Black Hawk helicopters. One helicopter was climbing to avoid gunfire when it's rotor struck the other.
11,11/29/03,2003,8:01,"Spokane, Washington",Ameriflight,Seattle - Spokane,Swearingen SA227AT Merlin IVC,1,1,"The cargo plane struck trees one mile short of the runway. The pilot-in-command's failure to maintain proper glidepath alignment during an ILS approach in poor weather resulting in collision with trees and terrain. Contributing factors were the unreliable status of the primary (NAV 1) ILS receiver (leaving the pilot with only the secondary (NAV 2) ILS receiver), the low ceilings and trees."
11,11/29/03,2003,15:20,"Boende, Congo",Military - Congolese Air Force,"Boende, Congo - Kinshasa, Congo",Antonov AN-26,24,20,The aircraft suffered a blowout of a tire while taking off for the second time after aborting the first takeoff. The pilot was not able to stop the aircraft and overran the runway and crashed into a small market square
12,12/16/03,2003,12:00,"Jellicoe, Ontario, Canada",Huron Air,,de Havilland DHC-3 Otter,3,2,Crashed into Blackwater Lake shortly after taking off from a remote landing strip.
12,12/18/03,2003,22:00,"Mitu, Colombia",Lí_neas Aí©reas Suramericanas,El Yopal - Mitu,Douglas DC-9-15F,3,3,"While on approach to , the cargo plane obtained the authorization to descend from 23,000 to 7,000 ft. but  disappeared from radar screen when it struck a mountain. Wreckage was found 5 days later."
12,12/23/03,2003,9:13,"Helendale, California",Pavair,"Chino,CA - Sun Valley, ID",Gates Learjet 24B,2,2,"While en route and cruising at 24,000 ft. the crew of the cargo plane declared an emergency and tried to return to Chino Airport but the aircraft suddenly nose dived and crashed into the Mojave Desert. A loss of airplane control for undetermined reasons."
12,12/25/03,2003,14:55,"Cotonou, Benin",Union des Transports Aeriens de Guinee,"Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon",Boeing B-727-223,161,140,"The B-727 was barely able to climb after taking off from Cotonou Airport. The landing gear struck a building housing electronics, crashed through the barrier fence and broke up along the shoreline adjacent to the airport. The plane was overloaded by 10 tons of cargo which was improperly distributed."
1,1/3/04,2004,4:44,"Off Sharm el Sheikh, Egypt",Flash Air,"Sharm el Sheikh, Egypt - Cairo, Egypt",Boeing B-737-3Q8,148,148,"Shortly after taking off,  the aircraft crashed into the Red Sea, 7 miles south of the airport. There were mostly French tourists on board heading home for the holidays. Pilot spatial disorientation."
1,1/13/04,2004,19:40,"Tashkent, Uzbekistan",Uzbekistan Airways,Termez - Tashkent,Yakovlev YAK-40,37,37,"Crashed while attempting to land in heavy fog. The aircraft struck a stanchion of approach lights and flipped over, hitting the outside of a wall surrounding the landing area."
1,1/17/04,2004,16:40,"Lake Erie, off Pelee Island, Ontario, Canada",Georgia Express,"Pelee Island, Ontario - Windsor, Ontario",Cessna 208B Grand Caravan,10,10,"he pilot reported having trouble shortly after taking off from Pelee Island. The single engine plane crashed into Lake Erie one third of a mile west of Pelee Island in snow showers and freezing rain. The plane was overloaded by 1,270 lbs. In addition, the Cessna's surfaces were laden with ice."
1,1/28/04,2004,20:55,"Ghardaí¿a, Algeria",Tassili Airlines,Hassi R'Mel - Ghardaí¿a,Beechcraft 1900D,5,1,"While on approach by night, the crew lost contact with ground in a sand storm. The aircraft struck a mountain located about 10 km short of runway threshold."
2,2/6/04,2004,8:01,"Bitonja, Bosnia-Herzegovina",Military - Government of Macedonia,Skopje - Mostar,Beechcraft Super King Air 200,9,9,"The twin engine aircraft crashed in the southern mountains of Bosnia in poor weather conditions, minutes away from landing at Mostar. Macedonian president, Boris Trajkovski, 47, killed along with 6 aids. Pilot error. The two-man crew misinterpreted crucial flight data in stormy weather."
2,2/10/04,2004,11:40,"Sharjah, United Arab Emirates",Kish Airlines,Kish Island - Sharjah,Fokker F-50,46,43,"The aircraft crashed on approach, 2 miles short of the runway while attempting an emergency landing at Sharjah. The plane crashed midway between two residential compounds. The flight data recorder showed that the two engines went into reverse 10 seconds before the accident."
2,2/24/04,2004,5:50,"Cagliari, Italy",City-Jet,Rome - Cagliari,Cessna Citation 500,6,6,"The aircraft was on an ambulance flight to Cagliari-Elmas Airport with 2 doctors, 2 nurses and 2 crew aboard. During its approach, the aircraft struck a mountain at 3,000 ft., a few miles from the airport."
3,3/1/04,2004,17:50,"Trefoil Island, TAS, Australia",Air taxi,Trefoil Island - Smithton,Cessna 172G,4,4,"While at an alitiude of 200 ft. and preparing to land the plane went into a nose up attitude, stalled and crashed. The investigation could not conclusively determine the reason for the excessive nose-up pitch and departure from controlled flight."
3,3/4/04,2004,9:40,,Azov Avia Airlines,Ankara - Baku - Kabul,Ilyushin II-76,7,3,"Shortly after taking off and climbing to about 150 feet, the aircraft pitch down and crashed into a field 4 km from the airport."
3,3/10/04,2004,20:42,"San Diego-Miramar NAS, California",Military - United States Marine Corps,Training,Cessna UC-35D Citation Encore,4,4,"On final approach at night, the aircraft crashed near Interstate 15, half- a-mile short of the runway."
3,3/16/04,2004,4:01,"Tonopah, Nevada",Military - United States Air Force,,Beechcraft 1900C,5,5,While on approach and during a turn the pilot suffered a sudden cardiadeath. Half way through the turn the airplane began a gradual descent until it impacted the ground. The airplane broke up and burst into flames. The pilot willfully deceived flight medical examiners and suppressed medical information and ingested inappropriate medications for a deteriorating and dangerous health condition.
3,3/18/04,2004,17:08,"Hamilton Island, QLD, Australia",Air Taxi,Hamilton Island - Lindeman Island,Piper PA-32-300,6,6,Engine failure during takeoff . Cause of the engine failure could not be determined.
3,3/21/04,2004,2:20,"Pyote, Texas",Air Ambulance - Med-Trans Corp.,"Odessa, TX - Lubbock, TX",Bell 407,5,4,"The helicopter impacted terrain while maneuvering in reduced visibility conditions. The pilot's inadvertent encounter with adverse weather, which resulted in the pilot failing to maintain terrain clearance. Contributing factors were the dark night conditions, the pilot's inadequate preflight preparation and planning, and the pressure to complete the mission induced by the pilot as a result of the nature of the EMS mission."
5,5/2/04,2004,16:00,"Near Milpillas, Mexico",Procuradoria General de la Republica,Ciudad Juarez - Mexico City,Rockwell Gulfstream Jetprop 840,7,7,"The aircraft crashed and was destroyed following a loss of control while en route at cruise altitude at 23,000 ft. after encountering unfavorable weather conditions."
5,5/4/04,2004,11:00,"Chimanta mountains, Venezuela",Venezuelian Government,Ciudad Bolí_var - Uonquí©n,Cessna 208 Grand Caravan I,7,7,"While en route, the aircraft collided with Awakapa Tepuy hill at an altitude of 7,000 feet in poor weather."
5,5/5/04,2004,13:00,"Carepa, Colombia",Aerotransportes Petroleros,Bogota - Carepa,Swearingen SA227AC Metro III,7,3,While on approach the plane hit the ground 300 ft. short of the runway.
5,5/6/04,2004,15:00,"Jiech, Sudan",Charter - Air Cush,Jiech - Ayod,Let 410UVP,10,6,"The plane crashed just seconds after taking off. It was on a mission of delivering humanitarian aid in Sudan. The cargo shifted after takeoff, causing the cg to change and the plane to stall and crash."
5,5/11/04,2004,,"Dalang, Sudan",El Magal Aviation,Khartoum - Juba - El Obeid,Antonov AN-12,7,7,While flying in a thunderstorm the plane hit the side of a mountain. One survivor died a few hours after the accident.
5,5/14/04,2004,18:30,"Near Manaus, Brazil",Rico Linhas Aereas,Sao Paulo - Tefe - Manaus,Embraer 120ER Brasilia,33,33,"The plane dropped off radar at Manaus' Eduardo Gomes International Airport about 10 miles from the runway after it suspended landing procedures to allow another plane carrying sick people on the way to a hospital to land. The plane crashed in dense jungle, making it difficult for rescue crews to reach the wreckage."
5,5/18/04,2004,10:40,"Bozoy, Kazakhstan",Aray-Avia,Kyzyl-Orda - Bozoy - Vozrozhdenya Island,PZL-MieleAN-2R,12,1,"About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport."
5,5/18/04,2004,10:50,"Urumqi, China",AZAL Cargo Company,Taiyuan - Urumqi - Baku,Ilyushin II-76TD,7,7,Crashed and stalled near the end of the runway while attempting to take off. The aircraft was overloaded.
5,5/23/04,2004,7:30,"Mwingi, Kenya",Blue Bird Aviation,Nairobi - Mogadiscio,Let 410UVP,2,2,While en route the cargo plane collided with another Let 410 of the same operator. The first aircraft crashed killing both pilots while the second  made a safe landing.
5,5/25/04,2004,13:56,"Near Lukla, Nepal",Yeti Airlines,Katmandou - Lukla,de Havilland DHC-6 Twin Otter 300,3,3,"While on approach to Lukla, the cargo plane crashed into Lamjura Hill in heavy cloud cover. Hazardous behavior and attitudes of the captain such as over-confidence, being care-free, and non-compliance of the regulations caused the accident."
6,6/8/04,2004,9:38,"Off Libreville, Gabon",Gabon Express,Libreville - Franceville,BAe HS-748-232 Srs 2A,30,19,The aircraft nosedived into the sea about 100 meters off a beach shortly after taking off from Leon Mba international airport. Engine failure forced the plane back towards the airport.
6,6/11/04,2004,,"Belo Horizonte, Brazil",Air taxi - Aero Air Taxi,Belo Horizxonte - Juiz de For a,EMB 820C Navajo,4,4,After taking off and climbing the crew noticed oil  low pressure reading and decided to return to Belo Horizonte. After completing a turn the aircraft entered a dive and crashed and burned.
6,6/28/04,2004,9:17,"Near Yengema, Sierra Leone",United Nations -  UTair Charter,Freetown - Kailahun,Mi-8MTV-1,24,24,The helicopter crashed into a slope of a mountain in a forested area. The helicopter took off from the Sierra Leone capital but never arrived at its destination in the western city of Kailahun.
7,7/2/04,2004,13:38,"Panama City, Panama",Air Trek,"Panama City, Panama  - Washington DC",IAI 1124 Westwind,6,6,"After lifting off the runway the air ambulance pitched up vertically, the nose then lowered, and the wings rocked side to side. The lane then veered right and impacted the ground and broke up. An airport worker was killed when he was hit by the left engine."
7,7/10/04,2004,9:00,"Ticonderoga, New York",Capital Airlines Inc.,"Waterbury,CN  - Oxford, CN",Piper PA-31-350 Navajo Chieftain,2,2,"While approaching Ticonderoga airport in good weather conditions, the twin engine aircraft hit trees and crashed in a wooded areas on Old Fort Mountain 4.5 miles SW of the airport. Reason for occurrence undetermined."
7,7/12/04,2004,7:15,"Off Beef Island, British Virgin Islands",Dodita Air Cargo,San Juan - Saint Martten,Convair CV-440,2,1,"While en route the cargo plane experienced a fire in the right engine which led to a ditching of the plane. The plane sank in 1,000 ft. of water the copilot was rescued but the captain was never found."
7,7/22/04,2004,8:30,"Off  Macaí© , Rio de Janeiro , Brazil",BHS - Brazilian Helicopter Service  Air Taxi,"Campos, Brazil  -  Off-shore oil rig",Sikorsky S 76,11,6,"During the approach to P-31 oil rig, at an altitude of 500 ft, an alarm sounded for the left turbine after which there was a loud noise. Then the main rotor and right turbine lost rotation and the helicopter crashed in the sea."
7,7/29/04,2004,10:30,"Ononge, Papua New Guinea",Airlines of PNG,Port Moresby - Ononge,de Havilland DHC-6 Twin Otter 300,3,2,The cargo plane diverted to Yongai airport because of bad weather but collided with trees and crashed.The loadmaster was rescued a day later.
8,8/13/04,2004,0:50,"Cincinnati, Ohio",Air Taroma,Memphis - Cincinnati,Convair CV-580,2,1,"While on approach at night,, the crew reported engine trouble. Shortly after the aircraft crashed on a golf course short of Runway 36R. Fuel starvation resulting from the captain's decision not to follow approved fuel crossfeed procedures. Contributing to the accident were the captain's inadequate preflight planning, his subsequent distraction during the flight, and contributing to the accident was the flightcrew's failure to monitor the fuel gauges and to recognize that the airplane's changing handling characteristics were caused by a fuel imbalance."
8,8/17/04,2004,23:40,"Great Falls, Montana",Alpine Air Express,Billings - Kalispell,Beechcraft 99,2,2,"The cargo plane, carrying mail on behalf of the U.S. Postal Service crashed into  the side of Big Baldy mountain in poor weather. The pilot's failure to maintain adequate terrain clearance during cruise, which resulted in the in-flight collision with mountainous terrain. Dark night conditions and mountainous terrain were contributing factors."
8,8/18/04,2004,11:10,"Near Goma, DemocratiRepubliCongo",Transworld Safaris,Goma - Walikale,Cessna 208B Grand Caravan,3,3,"The aircraft crashed into 11,000 ft. Nyarigongo Volcano at 8,4500 ft. in bad weather ten minutes after taking off."
8,8/21/04,2004,16:28,"Near Maracay, Venezuela",Military - Venezuelan Air Force,La Orchila Air Base - Maracay,Shorts 360,25,25,"Air trafficontrollers lost contact with the plane as it was returning from the Caribbean island of La Orchila and descending through 9,500 ft. The plane crashed in a mountainous region of northeastern Venezuela in thunderstorms. The plane was carrying a mixture of military and civilian passengers."
8,8/24/04,2004,22:59,"Near Rostov-on-Don, Russia",Sibir Airlines,Moscow - Sochi,Tupolev 154B-2,46,46,The plane crashed 19 minutes after taking off from Moscow. It crashed almost simultaneously with a Volga-Avia Express Tupolov134 which crashed at 22:56. Detonation of an exposive device aboard.
8,8/24/04,2004,22:56,"Near Toula, Russia",Volga-Avia Express,Moscow - Volograd,Tupolev 134A-3,41,41,The plane crashed 26 minutes after taking off from Moscow. Witnesses stated they saw the plane explode in midair before crashing. It crashed almost simultaneously with a Sibir Tupolov154 which crashed at 22:59. Detonation of an exposive device aboard.
8,8/27/04,2004,16:30,"Near MGrath, Alaska",Mavrik Aire Transport,Kenai - McGrath - Kotzebue,de Havilland DHC-3 Otter,3,1,"Thirty minutes after departure from McGrath, the pilot encountered low visibility due to smoke and fog. After deciding to fly at a lower altitude, the aircraft struck trees and crashed into a forest. Rescue teams found the bodies and the survivors 2 days later. The pilot's inadequate in-flight planning/decision making, his continued VFR flight into instrument meteorological conditions, and his failure to maintain obstacle clearance. Factors contributing to the accident were low ceilings due to smoke, rain, and mist."
9,9/9/04,2004,6:50,"Villahermosa, Mexico",Jett Paqueteria SA,Mexico City - Villahermosa,Rockwell CT-39A Sabreliner,2,2,On final approach the cargo flight crashed in a wooded area 3 km from the runway and was destroyed.
9,9/11/04,2004,11:10,"Off Mount Athos, Greece",Military - Greek Army,Athens - Mount Athos,CH-47D Chinook,17,17,"The helicopter crashed into the Aegean Sea, 5.5 nautical miles off Halkidiki peninsula.  Patriarch Petros VII of Alexandria , Egypt, spiritual leader of orthodox Christians throughout Africa, killed along with other clergy."
9,9/29/04,2004,18:59,"Tortuguero lagoon, Puerto Rico",Air Flamence,5aguez - San Juan,Pilatus-Britten Norman BN-2A-27 Islander,1,1,"The cargo plane hit a heavy rain shower before losing control and crashing into Toruuguero lagoon. The pilot's improper inflight planning which resulted in an inflight encounter with weather (low ceilings and thunderstorms), his loss of aircraft control, and an inflight collision with the ocean during uncontrolled descent."
10,10/5/04,2004,12:37,"Kaduqli, Sudan",Sarit Airlines,El Obeid - Juba,Antonov AN-12,4,4,The cargo plane reported an engine failure and tried to divert to the nearest airport but crashed and burned in a wooded area about 50 km from Kaduqli.
10,10/14/04,2004,22:15,"Jefferson City, Missouri",Pinnacle Airlines/Northwest Airlink,Little Rock - Minneapolis,Canadair CRJ200LR RegionalJet,2,2,"The cargo plane did not gain altitude and ran off the end of the runway and crashed into a forest. The aircraft's lower aft fuselage struck a berm supporting a localizer antenna, resulting in the tail separating from the aircraft, rendering the aircraft uncontrollable. The incorrect V speeds and thrust setting were too low to enable the aircraft to take off safely for the actual weight of the aircraft. The pilots of MKA1602 did not carry out the gross error check in accordance with the company's standard operating procedures (SOPs), and the incorrect take-off performance data were not detected. Crew fatigue."
10,10/14/04,2004,3:56,"Halifax, Nova Scotia, Canada",MK Airlines,"Windsor Locks - Halifax - Zaragoza, Spain",Boeing 747-244B-SF,7,7,"On a night repositioning flight, while en route, the stick shaker activated several times before the plane entered a aerodynamistall. Almost simultaneously both engines stopped. The crew declared an emergency but the plane did not make the airport, crashed and broke up. PC:  The pilots' unprofessional behavior, deviation from standard operating procedures, and poor airmanship, which resulted in an in-flight emergency from which they were unable to recover, in part because of the pilots' inadequate training The pilots' failure to prepare for an emergency landing in a timely manner, including communicating with air trafficontrollers immediately after the emergency about the loss of both engines and the availability of landing sites and the pilots' failure to achieve and maintain the target airspeed in the double engine failure checklist, which caused the engine cores to stop rotating and resulted in the core lock engine condition. Contributing to this accident was the engine core lock condition, which prevented at least one engine from being restarted, and the airplane flight manuals that did not communicate to pilots the importance of maintaining a minimum airspeed to keep the engine cores rotating."
10,10/15/04,2004,7:46,"Near Medellin, Colombia",Aerovanguardia,Villavicencio - Medellin,Douglas DC-3C,3,3,"During descent in poor weather, the cargo plane struck a mountain near the airport."
10,10/16/04,2004,15:00,"Coron Island, Philippines",PacifiAir,Coron Island - Manila,Pilatus Britten-Norman BN-2A-21 Islander,2,2,"A few minutes after takeoff, the cargo plane struck the side Tagbao mountain a few  kilometers from the airport."
10,10/19/04,2004,7:45,"Near Kirksville, Missouri",Corporate Airlines (American Connection),"St. Louis, MO - Kirkville, MO",Bae Jetstream 3201,15,13,"The turboprop crashed 4 miles south of Kirksville while on approach to Kirksville Municipal Airport. The plane clipped tree tops before crashing on its belly into a wooded area. Data show the plane descending then climbing slightly in the last four seconds before impact. The plane lacked a modern terrain warning system which would have been required equipment the next year. The pilots' failure to follow established procedures and properly conduct a nonprecision instrument approach at night in instrument meteorological conditions, including their descent below the minimum descent altitude before required visual cues were available (which continued unmoderated until the airplane struck the trees) and their failure to adhere to the established division of duties between the flying and nonflying pilots. Contributing to the accident were the pilots' failure to make standard callouts and the current Federal Aviation Regulations that allow pilots to descend below the MDA into a region in which safe obstacle clearance is not assured based upon seeing the airport approach lights. The pilots' failure to establish and maintain a professional demeanor during the flight and their fatigue likely contributed to their degraded performance."
10,10/24/04,2004,16:30,"Martinsville, Virginia",Private - Hendrick Motorsports Inc.,"Concord, NC - Martinsville, VA",Beech 200 Super King Air,10,10,"The plane struck a steep incline in the Bull Mountain area seven miles from the Blue Ridge Regional Airport in heavy fog. Wreckage was confined to an area of approximately 200 ft. long. Killed in the crash were members of the Hendrick Motorsports racing team including the son, brother and two nieces of owner Rick Hendrick. Failure of the crew to properly execute the published instrument approach procedure. A contributing cause was the crew's failure to use all navigational aids to confirm and monitor their position during the approach."
10,10/24/04,2004,0:30,"San Diego, California",Med Flight Air Ambulance - Private,"San Diego, CA - Albuquerque, NM",Learjet 35A,5,5,"Two minutes after taking off, the air ambulance crashed into Otay peak,  in an isolated area of mountains, 8 miles east of Brown Field Municipal Airport. Dark night visual conditions prevailed. The controller's Minimum Safe Altitude Warning System issued and alert during the last two radar returns. The air trafficontroller failed to alert the crew to altitude warnings as the plane was on track to fly into a mountain. The controller identified the airplane on the radar screen and instructed crew members to expect clearance above 5,000 feet, but then issued a heading that resulted in a flight track directly into the mountains. The mountain is at 3,556 feet altitude. Also, the flight crew did not follow the recommended departure procedures for taking off at night and in mountainous terrain. Failure of the flightcrew to maintain terrain clearance during a VFR departure, which resulted in controlled flight into terrain, and the air trafficontroller's issuance of a clearance that transferred the responsibility for terrain clearance from the fllightcrew to the controller. The controller's failure to provide terrain clearance instructions to the flightcrew, and failure to advise the flightcrew of minimum safe altitude warning alerts. Contributing to the accident was the pilots' fatigue which likely contributed to their degraded decision making."
11,11/18/04,2004,13:02,"Caracas, Venezuela",Venezolana,El Vigia - Caracas,BAe 3101 Jetstream 31,21,3,"The aircraft was arriving on runway 09 at Simon Bolivar Airport when it departed the right side of the runway and cashed into the airport fire house. Weather at the time of the accident was poor, with low ceiling and torrential rain."
11,11/21/04,2004,8:20,"Baotou, Inner Mongolia, China",China Eastern Airlines,Baotou - Shanghai,Bambardier CRJ200,53,53,"The aircraft crashed into a frozen lake in Nanhai Park, 10 seconds after taking off. Ice pollution of the wings of the aircraft led to the accident. Failure to deice the plane."
